author,text
Poe,      my destiny! The circles rapidly grow small—we are plunging madly
Poe,"      expectation of going down. Our cable had, of course, parted like"
Poe,      impossible; yet a curiosity to penetrate the mysteries of these
Poe,"      friend, and I knew it. She was a good girl, and told me very"
Poe,      sea-brilliancy to which we had been accustomed in the tropics. We
Poe,"      example, there should be a deposition of moisture upon the silk,"
Poe,"      S. is appended, each day, by Mr. Ainsworth, who has in"
Poe,"      perfect and entire, of a harder substance than when alive. From"
Poe,"      among others, the treatise of the noble Italian, Coelius Secundus"
Dickens,an iron candlestick fixed against the wall: the other dragging in a
Poe,      long while ago that I ventured into the captain’s own private
Poe,"      coast, which was immediately recognized by both the seamen, and"
Dickens,"Crackit went to the window, and shaking all over, drew in his head."
Poe,"      converse, as, in the songs of the bard of Schiraz, the same"
Dickens,passing whole hours together in picturing the friends whom they had so
Dickens,"to be alarmed, looked on without speaking."
Dickens,throat as deep as you can cut. Saw his head off!”
Poe,      desert of ebony. Superstitious terror crept by degrees into the
Poe,"      slowly to my view. Would to God that I had never beheld them, or"
Poe,"      Fronting the entrance, and elevated a little above his"
Poe,"      cloister; I, living within my own heart, and addicted, body and"
Poe,"      I had scarcely completed my work, when a footstep in the hold"
Dickens,"and then it echoed loud groans, that gathered strength as they swelled"
Dickens,long since passed beyond the feeble censure of the world. It reflects
Dickens,"sleep at the parsonage, but divide their attentions so equally among"
Poe,      and of crushing to death the glories of many millions of fragrant
Dickens,"led them on, through dark and winding ways, towards the cells."
Dickens,as the coming back to make him happy too.”
Poe,"      During the latter part of the last century, the question arose"
Dickens,"hanged by the neck, till he was dead—that was the end. To be hanged by"
Poe,"      in its own old station, shining on gloriously forever."
Dickens,"Mr. Bumble has been heard to say, that in this reverse and degradation,"
Dickens,"note-book. He wondered whether it was like, and looked on when the"
Poe,      peculiarities. I pondered upon their conformation. I mused upon
Dickens,"seen him in the full career of his success and villainy, I think it as"
Poe,"      whole days over the perfume of a flower; to repeat, monotonously,"
Poe,"      as I expected, he paid me no attention. Although in his"
Poe,      mind exalted at the expense of the general intellect. They who
Poe,      “Treason!” muttered the gentleman with his jaws tied up.
Poe,      enamel—not an indenture in their edges—but what that period of
Poe,      of a cork.
Poe,"      work, the “City of God;” and Tertullian’s “_De Carne Christi_,”"
Dickens,"lower part of his face buried in a handkerchief, and another tied over"
Dickens,"The men laid hands upon him, and disengaging Oliver from his grasp,"
Poe,"      slender stems stood not upright, but slanted gracefully toward"
Poe,"      swallowed his bumper of port, while I rushed from the room in"
Poe,"      occurred, not very long ago, in England. The name of the"
Poe,      the easy navigation of the air in any direction (not exactly in
Poe,      His manner was a wild mixture of the peevishness of second
Dickens,"they wrenched the clanking bond asunder, and retiring a wide space"
Poe,      inflated into a globular figure at the base. The tubular part is
Poe,      vigor—and at length obtaining over me the most incomprehensible
Dickens,"“This is a smash,” observed Toby, biting his lips. “There’s more than"
Poe,      that we are hurrying onwards to some exciting knowledge—some
Dickens,"The crowd had been hushed during these few moments, watching his"
Poe,"      round, red, and full; and the same peculiarity, or rather want of"
Dickens,"you to a punishment the extent of which, although I can, with a"
Poe,"      cousin and I, preconcertedly paid uncle Rumgudgeon a visit on the"
Poe,"      at my command, and nearly all the room at my disposal, I will sum"
Poe,      mice. In his heart he wished for nothing more ardently than our
Poe,"      already a bride in his Art; she a maiden of rarest beauty, and"
Dickens,"love for you: have undergone a change. I offer you, now, no distinction"
Poe,"      exist, just then, between what I said and what I had not the"
Poe,"      my being. Therefore, what I shall tell of the earlier period,"
Poe,      rays the results are the same—the difference varying with a
Dickens,"opened, a sturdy man got out of the coach and stationed himself on one"
Poe,"      trees until it reaches the root, and dies, or remains dormant,"
Poe,"      honey, descends to the bottom, and rummages about till it becomes"
Dickens,"“My mother,” said Monks, in a louder tone, “did what a woman should"
Poe,      yet still breathing—still palpitating—_still alive_!
Dickens,"The man whistled again and again, and sat down and waited in the"
Poe,      yourself seem to be a little top-heavy; and as for the matter of
Poe,"      slept since quitting Wheal-Vor, but can stand it no longer, and"
Poe,"      stamens, being shorter than the germen, cannot discharge the"
Poe,      crew. With little difficulty I made my way unperceived to the
Poe,"      main hatchway, which was partially open, and soon found an"
Dickens,The broad sky seemed on fire. Rising into the air with showers of
Dickens,"side of the steps, while another man, who had been seated on the box,"
Poe,"      reigning melancholy of the countenance. The eyes were lifeless,"
Poe,"      Canada and the United States,” by Lieut. F. Hall._"
Poe,      Ude and Careme would say) which suited his perverse fancy to a T.
Poe,"      18— , from the port of Batavia, in the rich and populous island"
Poe,      sounds of the swinging of the censers of the angels; and streams
Dickens,would go—and ground it against it—and sat down.
Poe,"      (*24) _Chabert_, and since him, a hundred others."
Dickens,"over the parapet. The noose was on his neck. It ran up with his weight,"
Poe,      to die; but the terrors of the grave to her lay solely in a
Dickens,"“That’s right, that’s right,” said Fagin. “That’ll help us on. This"
Poe,"      evaporates—being surrounded by an atmosphere of its own, it does"
Poe,"      floor was thickly strewn with strange, iron-clasped folios, and"
Dickens,"at the interruption, and bent forward yet more attentively. The address"
Dickens,stopped all channels of communication through which they could receive
Dickens,"anxious faces, and, during the short intervals when they were present,"
Dickens,"in a strange name, without a letter, book, or scrap of paper that"
Dickens,"its dreadful silence, and short in its fleeting hours. At one time he"
Poe,      old man puffed like a pair of bellows; the lady of the winding
Poe,"      Around it, upon coffin-tressels, was seated a company of six."
Poe,"      into a long, loud, and obstreperous roar of very ill-timed and"
Poe,      fortunate heir was Thelluson. I first saw an account of this
Poe,"      and, as the gale freshened, we flew with a velocity nearly"
Dickens,Saturday night. He had only one night more to live. And as he thought
Poe,      pass. But these reflections partook not of the idiosyncrasy of my
Poe,"      quia impossibile est,_” occupied my undivided time, for many"
Poe,"      unabated violence, there was no longer to be discovered the usual"
Poe,      Keith-System of Physiological Botany_.
Poe,      from the other. Hereditary wealth afforded me an education of no
Poe,      bright was the seraph Ermengarde! and in that knowledge I had
Poe,      foible.” When I mention his weakness I have allusion to a bizarre
Poe,"      for its color, as from its being the first we had seen since our"
Dickens,"their fine humanity; so she left it with them, giving them a small"
Dickens,"beneath, like a field of corn moved by an angry wind: and joined from"
Dickens,"the parapet with a dismal howl, and collecting himself for a spring,"
Dickens,"could, and as when I had last heard of you you were on your own estate"
Poe,"      vignetting, and of the frame, must have instantly dispelled such"
Dickens,"with prospects blighted, lingered on at home, he fell among new"
Dickens,"even then, urge something in his behalf. Beyond these manifestations of"
Dickens,Monks; and although they knew that the object of their present journey
Poe,      that of any ship of the line or East Indiaman in existence. Her
Poe,"      all gay glowing birds, flaunted his scarlet plumage before us."
Poe,"      jaggeree, procured with great difficulty from the forecastle—the"
Poe,"      One evening, leaning over the taffrail, I observed a very"
Poe,"      the question aloud, and the whispering echoes of the chamber"
Poe,      is accomplished. We have crossed the Atlantic—fairly and _easily_
Dickens,"be in London, but no one could tell where. I returned. Your agents had"
Dickens,"rest: especially the young lady, who _may_ have greater need of"
Poe,"      after having travelled some ten miles up a low barren valley,"
Poe,"      difficulty I gained my feet, and looking dizzily around, was, at"
Poe,      of the streams until they reached the bed of pebbles at the
Dickens,"The jailer took the disengaged hand of Oliver; and, whispering him not"
Poe,      that I gazed around me with a startled and ardent eye—that I
Dickens,"the room, followed by Mr. Brownlow and a man whom Oliver almost"
Dickens,"money; gambled, squandered, forged, and fled to London: where for two"
Poe,"      “This apartment, which you no doubt profanely suppose to be the"
Dickens,will have you apprehended on a charge of fraud and robbery. I am
Poe,"      Do you understand, Mr. Rumgudgeon?—”"
Dickens,"behind him. Sikes sat opposite the door, so that the moment the boy"
Dickens,feeling but one of all-absorbing interest that he should be condemned.
Poe,"      oppose it under such circumstances, I sincerely believe, was not"
Dickens,"right; the dog, creeping under a chair, coiled himself up to sleep,"
Poe,"      in the end—in the long, long end—there were exceedingly few"
Poe,      credible est quia ineptum est: et sepultus resurrexit; certum est
Poe,      yet the feat is only so evidently feasible that the sole wonder
Poe,"      and rudiments of the branches are, in many cases, nearly perfect,"
Dickens,signed by one of the sheriffs. They were immediately admitted into the
Poe,"      man, who became lost in reveries; so that he would not see that"
Dickens,"and patched, with poles thrust out, on which to dry the linen that is"
Poe,"      Institute” with an insect from New Zealand, with the following"
Poe,      animals—the _Plantae_ _Epizoae_. Of this class are the _Fuci_ and
Poe,      the slightest fear for the result. The difficulty has been
Poe,                    —_Raymond Lully_.
Poe,"      Commencing at the right ear, it swept with a terrific chasm to"
Poe,      gave more liberally or with a worse grace.
Dickens,agitation and uncertainty which deprived him of the power of collecting
Poe,      may be turned out a lump of ice from a red-hot vessel.
Poe,      longed for the love which had before filled it to overflowing. At
Dickens,"“For the love of God,” said Mr. Brownlow solemnly, “do not say that"
Poe,      old-womanish superstition which beset him. He was great in
Poe,      clear that we are all right; for there can be no philosophical
Poe,"      still went up very rapidly. The balloon was unusually steady, and"
Dickens,"“Yes,” said Monks, scowling at the trembling boy: the beating of whose"
Dickens,"reflection whether an honest life was not, after all, the best."
Poe,"      Æolus—sweeter than all save the voice of Eleonora. And now, too,"
Dickens,lonely man: it is because he knelt with me beside his only sisters’s
Poe,"      somebody, with a red nose, a thick skull, a long purse, and a"
Dickens,covered one most dear to both—even from me he withheld any more
Poe,"      Situ Orbis,” says “either the world is a great animal, or” etc"
Dickens,"rose. Those who were at too great a distance to know its meaning, took"
Dickens,"frequented roads began his journey back, resolved to lie concealed"
Dickens,running noose by the aid of his hands and teeth almost in a second. He
Poe,"      then, to do? At fifteen, or even at twenty-one (for I had now"
Dickens,"ordinary, he skulked a little farther in the rear than usual, and"
Dickens,"The men obeyed, and the two were left alone together."
Dickens,"gardening, planting, fishing, carpentering, and various other pursuits"
Dickens,"adversity, remembered its lessons in mercy to others, and mutual love,"
Poe,      whit the less extraordinary character. Although quite as tall as
Dickens,"from the nurse, who stole them from the corpse,” answered Monks without"
Poe,      spoke no word; and I—not for worlds could I have uttered a
Poe,"      around were horror, and thick gloom, and a black sweltering"
Poe,      Doctor Dubble L. Dee—”
Poe,"      bottom,—these spots, not less than the whole surface of the"
Dickens,"if he were the grandfather of the whole party, all smiles and kindness,"
Dickens,mounting his horse sallied forth to join the first party at some place
Dickens,"“I never heard of that,” interrupted Monks in a tone intended to appear"
Poe,"      by the discovery of a completely petrified forest, near the head"
Poe,      century of ordinary life—nor would I forego this rapturous
Poe,"      in imagination a sensitive and sentient power, and even when"
Dickens,either in his hands or in those of his mother) were equally divided
Poe,      in a quaint shadow falling aslant upon the tapestry or upon the
Poe,      had forsaken me; and they modelled themselves into familiar and
Poe,"      remain and be admitted to the privileges of our table, according"
Poe,      placed it so as to throw its rays more fully upon the book.
Dickens,"could, and spare myself this pain.”"
Dickens,"the house which announced that an entrance had really been effected, he"
Poe,"      Tarpaulin, who had just commenced pouring out for himself a skull"
Poe,"      paused upon the giddy pinnacle, as if in contemplation of her own"
Poe,      any unnatural means.
Poe,      the first bird had traversed the air.
Poe,"      bitterly lamenting her fallen and desolate condition, I called to"
Dickens,"“We must let him in,” he said, taking up the candle."
Dickens,of his deep disgrace so worked upon my own father that he shunned
Poe,      upon the rigging of the stranger.
Poe,      (*21) The _Eccalobeion_
Poe,"      neither the execution of the work, nor the immortal beauty of the"
Dickens,mother’s death to escape the consequences of vicious courses here—I
Dickens,"bars that time and dirt have almost eaten away, every imaginable sign"
Poe,"      immediately beneath us, and we were fairly out at sea. We now"
Poe,      swilling the snug blue ruin stowed away for the winter by my
Poe,"      it ye cannot, then play unto its riddle the Oedipus."
Poe,"      upon the eye, the spirit of the lady again flickered up as the"
Poe,"      sun’s rays, our ascent became very rapid. I did not wish,"
Dickens,"“Nothing will do that, sir,” replied the man, shaking his head. “You"
Dickens,mattress on which to pass the night; for the prisoner was to be left
Dickens,"to open it from the inside; and creeping over the tiles, looked over"
Dickens,It was some time before they left the prison. Oliver nearly swooned
Poe,      box that lay upon it. But I could not force it open; and in my
Poe,      spirit-lifting ecstasy of adoration with which I poured out my
Dickens,there was nothing to fear; and directly came back with Charley Bates
Dickens,"till you have found the right ones, I have nothing more to say. I _did_"
Poe,"      bog, on which the exhumed trees lay rotting in the sun. The roots"
Poe,"      Rumgudgeon, but unlike him of the song, he had his weak points."
Dickens,the unavailing struggles of others to extricate themselves from the
Poe,"      mind that she had loved me long, and, in an evil moment, I spoke"
Poe,"      has not yet arrived—to the Swede, never did arrive. Thenceforward"
Dickens,"strong man, and in the intensity of his energy and the suddenness of"
Dickens,"swagger, turned to Chitling and said,"
Poe,"      and a long hair, held between the finger and thumb, hung without"
Dickens,"capture, and his head was bandaged with a linen cloth. His red hair"
Poe,      in length be any whole-number multiple of that fraction. A
Dickens,with this man is intimately connected with him; and as this child has
Poe,"      meaning, _the teeth_ of the changed Berenice disclosed themselves"
Poe,"      very regular floggings. From five to fifteen, he threatened me,"
Dickens,patronage: such relatives of influence and rank: as smiled upon me
Poe,      eyes have an eager and uneasy meaning; and when their fingers
Poe,      name Tim Hurlygurly the whole assembly leaped from their name
Dickens,"and earnest heart, and thus linked together a little society, whose"
Dickens,"was ever present to him, but in a vague and general way, and he could"
Poe,"      germen and stigma, together with the surrounding stamens. But the"
Poe,      the memorable decision which had so cruelly defeated our hopes.
Dickens,"enough to confess, as I see he has, and you have sounded all these hags"
Dickens,"“I know it all,” he said, taking a seat beside the lovely girl. “Dear"
Dickens,"Not that, all this time, his mind was, for an instant, free from one"
Poe,"      loitered away my boyhood in books, and dissipated my youth in"
Poe,"      singular-looking instruments, and decayed charts of navigation."
Poe,"      coincidence, does it not—that our friend, Captain Smitherton,"
Dickens,"repeat, a boy, when _his_ father ordered him to marry. Must I go back"
Poe,"      And, with these words upon her lips, she yielded up her innocent"
Poe,"      a spade. With a shriek I bounded to the table, and grasped the"
Dickens,"the condemned cells, and left him there—alone."
Poe,"      to a tree or other object, from which it derives no"
Poe,"      inspired some feelings of respect, and who arose and steadied"
Poe,"      it is, in other words, to find the best possible position at an"
Dickens,"cloak, “from my father’s oldest friend.”"
Poe,"      “To be sure—of course! I knew you were jesting. Now, uncle, all"
Poe,      motionless in that solitary room—and still I sat buried in
Dickens,had been but a happy dream.
Poe,"      KATE. “Oh, no, fie!—Robert’s not quite so bad as that. To-day’s"
Poe,      loaded table was overturned—the tressels were thrown upon their
Poe,"      silence. And then, lastly, the voluminous cloud uprose, and,"
Poe,"      (to me quite a surprising one) that, at an elevation equal to"
Poe,"      for which they had been equally noted, and together breathed a"
Poe,"      entering into the top, eats its way, perforating the trunk of the"
Poe,"      believe; and to what I may relate of the later time, give only"
Dickens,"Thirty or forty years ago, before losses and chancery suits came upon"
Dickens,“I will. Remain here till I return. It is your only hope of safety.”
Poe,"      had the balloon abundantly at command, either for ascent or"
Poe,      (*17) He observed a flock of pigeons passing betwixt Frankfort
Poe,"      some little trouble with the rod of the propeller, which must be"
Poe,"      description: “‘_The Hotte_, a decided caterpillar, or worm, is"
Dickens,"dreadful consciousness of his crime. He looked suspiciously about him,"
Poe,"      termination of the reverie, the first cause, so far from being"
Poe,      which she now and then moved it to one side or the other with her
Dickens,"“Hold your tongue, fool,” murmured Mrs. Bumble."
Dickens,"some weeks before; he had searched for her, on foot, in every town and"
Dickens,"These few words had been said apart, so as to be inaudible to Oliver."
Poe,      the world.
Dickens,"was behind him. He re-entered the shed, and shrunk down once more. The"
Poe,"      For the fine arts, and especially for the belles-lettres, he"
Poe,"      tenant of a tomb, a menial entered upon tiptoe. His looks were"
Dickens,"said ‘God bless you’ to me when I ran away,” cried the boy with a burst"
Poe,"      Hand in hand about this valley, for fifteen years, roamed I with"
Poe,"      which is a consequence of navigation in these seas, and apart"
Poe,"      As I imagined, the ship proves to be in a current—if that"
Poe,"      trail from the car, and the effect of which is to prevent the"
Poe,"      awakened from a slumber, like the slumber of death, by the"
Poe,"      small insect, which entering the tube of the corrolla in quest of"
Poe,"      and in fact, the commencement of the present paper was published"
Poe,      half way across the Atlantic. We have passed over some twenty or
Poe,"      again, like the adventures of the Nubian geographer, “agressi"
Dickens,eyes sunk gradually to the ground.
Poe,      infinity of varied distances and at an infinity of points on the
Dickens,"“Young Bates,” said Kags, looking angrily round, to check the fear he"
Poe,"      atmosphere, and the consequent disruption of the minute particles"
Poe,      change had come upon all things. The star-shaped flowers shrank
Poe,"      my nature—a point of my faith. In Kate, however, I had a firm"
Dickens,and the gain to you at her own death. It contained a reference to some
Poe,"      myself, I seek not to convince. There is, however, a remembrance"
Dickens,among a bustling crowd; no mingling with a world of malice and
Poe,"      gentleman in long white hose and cotton drawers. His frame shook,"
Dickens,“What have you done?” asked the doctor in a whisper.
Poe,      silver fish swam down through the gorge at the lower end of our
Poe,"      referring occurrences, even the least susceptible of such"
Poe,      (*28) Voltaic pile.
Poe,"      hurriedly, and then closed my eyes. Why I did this was not at"
Poe,      uniform increase from the violet to the red.
Poe,"      itself, and prepared myself gloomily for that death which I"
Dickens,and when his eye is turned from these operations to the houses
Poe,      strong sense of his own consequence. With the best heart in the
Poe,      At her right hand sat a diminutive young lady whom she appeared
Poe,      paintings and their histories. Turning to the number which
Dickens,"“If the law supposes that,” said Mr. Bumble, squeezing his hat"
Poe,      telescope a wire one eighteen-thousandth part of an inch in
Dickens,"ever come of age. If it were a girl, it was to inherit the money"
Dickens,"everything as if he had left it but yesterday, and all his recent life"
Poe,      one-fourth part of the same liquor which your majesty has just
Dickens,"heart clung to him, from that time forth, through all his trials and"
Dickens,Do not tremble. You need not fear to hear the few remaining words we
Poe,      Yet the promises of Eleonora were not forgotten; for I heard the
Dickens,"although for aught he knew, it would be quite strange to your ears."
Dickens,"very ex-clusive as I have done, and by that means has a snug house over"
Poe,"      (*15) The corolla of this flower (_Aristolochia Clematitis_),"
Poe,      ALL. “Yesterday indeed! you are out!”
Poe,      are two distinct conditions of my mental existence—the condition
Poe,      forever. We are surely doomed to hover continually upon the brink
Poe,      which the reveries of fancy have been a dead letter and a
Dickens,about in every direction. I have spoken to the men who are charged with
Dickens,"The man stopped half-way, and they looked at each other; but Sikes’s"
Poe,      most abstruse although desultory speculation. And _now_—now I
Dickens,"told them she was illegitimate, and sure to go wrong at one time or"
Poe,      many years ago—previous to the issue of the first number of Sue’s
Poe,      anything like analysis or explanation.
Dickens,"as if they were his dearest friends. I can see ’em now, not able to"
Poe,      destroy. I am led to attribute these frequent escapes to the only
Dickens,and the roar of voices mingled in alarm and wonder. Any sound of men in
Poe,"      decisive light. There were no clouds apparent, yet the wind was"
Poe,"      that period the ship, being thrown dead off the wind, has"
Dickens,otherwise than as a part of his vision.
Dickens,blood be upon your own head!”
Poe,      easily succeeded in creating.
Poe,"      KATE. “Why, papa, Captain Pratt went round Cape Horn, and Captain"
Dickens,"raising her shrivelled hand, “but you couldn’t shut out the sound, nor"
Poe,      (*30) The Electro telegraph transmits intelligence
Poe,      another drop—least of all a drop of that villainous bilge-water
Poe,      nervous restlessness which haunted me as a fiend.
Poe,"      and everyday world. And, then and there, I threw myself hurriedly"
Poe,"      in the tempest. Around them, on every part of the deck, lay"
Dickens,crumbling down; the windows are windows no more; the doors are falling
Poe,      feature of her face was sufficiently distinguished to need a
Dickens,"apart, carried each a galling fragment, of which nothing but death"
Poe,"      shall have my consent—and the _plum_, we mus’n’t forget the"
Dickens,listlessly and wearily each of that wretched pair dragged on their
Poe,      serve all the purposes of a mere rope on land. Another most
Poe,"      of Oporto wine. With his arms folded, and with one bandaged leg"
Dickens,"do you talk to me of brothers? You know that, as well as I.”"
Dickens,"his head under his hat. He drew them slowly off. Blanched face, sunken"
Poe,"      presence, sighing upon me in the evening winds, or filling the"
Dickens,years he had associated with the lowest outcasts. She was sinking under
Dickens,"glow and thrill which I once felt, only to hear it repeated by a"
Dickens,"He sat down on a stone bench opposite the door, which served for seat"
Poe,      to your respective and individual pleasures.”
Dickens,tried to lie away the blot. The girl’s father had the truth from her
Poe,"      charcoal, which threw a fitful but vivid light over the entire"
Poe,"      of the revolution.” This is an excessively complex problem, for"
Poe,      now that I passed directly before the eyes of the mate; it was no
Poe,"      represented as rushing, by four mouths, into the (northern) Polar"
Poe,"      at once—at whose footstool I bowed down without a struggle, in"
Poe,"      us. The frame-work of our stern was shattered excessively, and,"
Poe,      told of a wild cry disturbing the silence of the night—of the
Poe,      excites within my spirit a sense—a sentiment ineffable. His
Poe,      precaution to prepare themselves with passports directed to all
Poe,"      Without, however, taking offence at behaviour so excessively"
Dickens,knots; his eyes shone with a terrible light; his unwashed flesh
Poe,"      (*5) “During the eruption of Hecla, in 1766, clouds of this kind"
Poe,"      and jarring discordantly, in their fantastic character, with the"
Poe,"      booms, and rolling every moment her top-gallant yard-arms into"
Dickens,"“Before he went abroad, and as he passed through London on his way,”"
Poe,"      “Avast there!” interrupted Legs, looking very serious, “avast"
Poe,"      indefinite, since they have their origin in sources so utterly"
Poe,"      her wasted fingers, in the livid hue of her lips, and in the"
Poe,"      (*32) Place a platina crucible over a spirit lamp, and keep it a"
Dickens,"Neither Mrs. Maylie, nor Harry, nor Rose (who all came in together),"
Poe,      I have said already that he had his weak points; but in speaking
Dickens,"“I have nothing to disclose,” rejoined Monks. “You must talk on if you"
Poe,"      time breathless and motionless, with my eyes riveted upon her"
Dickens,"“The only friend I ever had,” cried Rose, clinging to her. “The"
Dickens,"cap, the noose, the pinioned arms, the faces that he knew, even beneath"
Poe,"      in the ceiling. The other limb, confined by no such fetter, stuck"
Dickens,"friends, who crowded round a grate which looked into the open yard."
Dickens,"thousand looks and smiles, and turns of thought and speech—I would fain"
Dickens,(however respectable and pleasant a person he may be to play cards with
Dickens,"too, but was filled with the impression that a male child had been"
Poe,"      with trifling variations, S.E. and by S.; and we must have run"
Poe,      horrible gulf beyond her. For a moment of intense terror she
Poe,      with the impress of human nails. He directed my attention to some
Poe,      material to which I am a stranger. There is a peculiar character
Poe,"      alone, was sufficiently marked to merit a particular description."
Poe,      stamp of a myriad of years. His gray hairs are records of the
Dickens,"and then he only muttered that he was an old man—an old man—and so,"
Dickens,paroxysm of fear and wrath that even they—used to such sights—recoiled
Dickens,"in the centre of all—the black stage, the cross-beam, the rope, and all"
Poe,"      Hugh, removing his coffin tressel from its station near the head"
Dickens,"his confidence in the mother, and his conviction—only strengthened by"
Poe,      The ship and all in it are imbued with the spirit of Eld. The
Poe,      the colossal waters rear their heads above us like demons of the
Dickens,"if you’ll allow me, of saluting the bride that is to be.”"
Poe,"      that spirit when departed, and, if so it were permitted her"
Poe,"      be Sunday. And what is more, Mr. Rumgudgeon, it is positively"
Poe,"      of way the ship made, the swelling of the black stupendous seas"
Dickens,plunged into the thickest of the throng. Hither and thither he dived
Dickens,"sell them, and they’re where you’ll never get them. What then?”"
Dickens,"“This child,” said Mr. Brownlow, drawing Oliver to him, and laying his"
Dickens,"on either side lowering from their back doors and windows, buckets,"
Dickens,relations to strengthen whose interest and importance your father had
Dickens,"that night: now working at the pumps, and now hurrying through the"
Poe,"      paternal halls. Yet differently we grew—I, ill of health, and"
Poe,"      like the ephemeron, she had been made perfect in loveliness only"
Poe,      fiery souls of our forefathers. The passions which had for
Poe,      do.
Poe,      hiding-place in the hold. This I did by removing a small portion
Dickens,"they made a ring round him, and fought their way along. You should have"
Poe,"      circumstances should cause undue levity, and consequent ascent,"
Dickens,"lights increased; the footsteps came more thickly and noisily on. Then,"
Poe,"      energy; hers, the ramble on the hill-side—mine the studies of the"
Dickens,"fought like devils, or they’d have torn him away. He was down once, but"
Poe,"      vain; while ever and anon, like the spirit of a departed sound,"
Poe,"      turret of the building. Its decorations were rich, yet tattered"
Poe,      In the cranium of this hideous thing lay quantity of ignited
Poe,"      “Treason! treason!” shrieked her majesty of the mouth; and,"
Dickens,multitude of angry voices as would have made the boldest quail.
Dickens,a separate room. The two other gentlemen hurried in and out with
Dickens,The three spectators seemed quite stupefied. They offered no
Dickens,"but his conductors hurried him on, through a gloomy passage lighted by"
Poe,"      of his companion. Jostling King Pest through the open trap, the"
Dickens,"dares, but if I am here I’ll give him up. I’d give him up if he was to"
Poe,      in a second.
Poe,"      of toddy, he, at length, finally disappeared amid the whirlpool"
Dickens,"out, as though to see which way the greater number leant; but that was"
Dickens,ponderous waggons that bear great piles of merchandise from the stacks
Poe,"      “It would be a matter of utter impossibility,” replied Legs, whom"
Poe,      (*12) _Schouw_ advocates a class of plants that grow upon living
Poe,      the left—the short pendants which she wore in either auricle
Dickens,"people at the Cripples are all in custody, and the bar of the ken—I"
Poe,"      star-shaped, burn out upon the trees where no flowers had been"
Poe,"      tongue, gave to her countenance a somewhat equivocal expression."
Dickens,"expressive of abhorrence. A few there were, who seemed unmindful of"
Poe,"      thousand miles west, was twenty-four hours, or one day, behind"
Poe,      the party were still at Fort Moultrie. Their farther intentions
Poe,"      sable plumes—and, arising, took each by an arm, and led him to a"
Poe,"      into the stems of the trees, and appeared no more. The tints of"
Poe,"      pouring out a skull of red wine, quaffed it to their better"
Poe,"      calamity, indeed, gave me pain, and, taking deeply to heart that"
Poe,"      Tarpaulin, stooping down so as to bring his nose upon a level"
Dickens,journey. He was worn by anxiety and remorse almost to a shadow; talked
Poe,      up their awful whites towards the ceiling in absolute amazement
Dickens,"from her hand, and watched you too, next day, to the pawnbroker’s"
Poe,"      at Caserta, four leagues distant, people could only walk by the"
Poe,"      lone hours, when my heart beat heavily, the winds that bathed my"
Poe,"      After many years spent in foreign travel, I sailed in the year"
Poe,      but then Captain Pratt and Captain Smitherton didn’t go
Dickens,"The contest, however, was too unequal to last long. Sikes had him down,"
Poe,"      well-knit and compact frame of body, neither robust nor"
Poe,      much like an old mouser he behaved to us two poor wretched little
Poe,"      just _now_, you know, uncle, is that you would indicate the time"
Poe,"      If I trembled at the blast which has hitherto attended us, shall"
Poe,      the assumptions and dignity of King Pest the First had evidently
Dickens,"hopes, my wishes, prospects, feeling: every thought in life except my"
Dickens,"“It is not indeed, my friend,” rejoined Mr. Brownlow; “but my business"
Poe,"      with the Zephyrs, one might have fancied them giant serpents of"
Dickens,"bedrooms ready, and everything was arranged as if by magic."
Dickens,assailed by offensive sights and smells from the narrow alleys which
Dickens,"“It was quite true,” he said, “that they must know them before long,"
Poe,      plum was her own) if he could have invented any thing like an
Dickens,rocked and crumbled into the burning well; the molten lead and iron
Poe,"      reach, that an Egyptian donkey can scarcely thread its way"
Poe,"      “She was a maiden of rarest beauty, and not more lovely than full"
Dickens,"he saw that the jurymen had turned together, to consider their verdict."
Poe,      discouraged us in no little degree. The steel rod connecting the
Poe,"      wedded the painter. He, passionate, studious, austere, and having"
Poe,      and hypothenuse disappears—when the earth’s real convexity must
Dickens,"an innocent and unoffending child, for such he is, although the"
Poe,      piles of commingled gloom and grandeur which have so long frowned
Dickens,"Laying great stress on the repetition of these two words, Mr. Bumble"
Dickens,know that too—to think how changed he is; you did the same with me. He
Dickens,"and walls, two men appeared: one bearing a candle, which he thrust into"
Poe,"      Before each of the party lay a portion of a skull, which was used"
Poe,"      MYSELF. (Hurriedly.) “Captain Pratt, you must come and spend the"
Dickens,"he was found dead in his bed. The girl had left her home, in secret,"
Poe,"      continued her terrific course due south, with every rag of canvas"
Poe,      jammed in between the stern-post and rudder. With great
Dickens,her or their young child; for all the guilt was his. He reminded her of
Poe,"      in calling attention to his gaudy-colored surtout. This, to say"
Dickens,"its inmates, and Oliver and Mr. Brownlow, and Mr. Losberne, that to"
Poe,"      over her neck; a soft smile played about her mouth; but her nose,"
Dickens,"purpose, or the robber’s sidelong look at him was sterner than"
Poe,"      than a hundred times her own altitude, her apparent size exceeded"
Poe,      would have given ten thousand pounds from his own pocket (Kate’s
Poe,      person could be less liable than myself to be led away from the
Dickens,"England’s richest county; and by one village church—mine, Rose, my"
Dickens,"horseback, who, throwing himself out of the saddle, and bursting"
Poe,"      from view, I sought eagerly the volume which discussed the"
Poe,"      sweet voice, saying:"
